module,name,permission,anonymous user,authenticated user,administrator,publisher,editor,event creator,site manager,site admin
,Agency: Create new content,create agency content,,,1,1,1,,1,1
,Agency: Edit own content,edit own agency content,,,1,1,1,,1,1
,Agency: Edit any content,edit any agency content,,,1,1,1,,1,1
,Agency: Delete own content,delete own agency content,,,1,1,1,,1,1
,Agency: Delete any content,delete any agency content,,,1,,,,1,1
,Blog entry: Create new content,create blog_entry content,,,1,1,1,,1,1
,Blog entry: Edit own content,edit own blog_entry content,,,1,1,1,,1,1
,Blog entry: Edit any content,edit any blog_entry content,,,1,1,1,,1,1
,Blog entry: Delete own content,delete own blog_entry content,,,1,1,1,,1,1
,Blog entry: Delete any content,delete any blog_entry content,,,1,,,,1,1
,Document: Create new content,create document content,,,1,1,1,,1,1
,Document: Edit own content,edit own document content,,,1,1,1,,1,1
,Document: Edit any content,edit any document content,,,1,1,1,,1,1
,Document: Delete own content,delete own document content,,,1,1,1,,1,1
,Document: Delete any content,delete any document content,,,1,,,,1,1
,Event: Create new content,create event content,,,1,1,1,1,1,1
,Event: Edit own content,edit own event content,,,1,1,1,1,1,1
,Event: Edit any content,edit any event content,,,1,1,1,1,1,1
,Event: Delete own content,delete own event content,,,1,1,1,,1,1
,Event: Delete any content,delete any event content,,,1,,,,1,1
,Media Gallery: Create new content,create media_gallery content,,,1,,,,,
,Media Gallery: Edit own content,edit own media_gallery content,,,1,1,1,,1,1
,Media Gallery: Edit any content,edit any media_gallery content,,,1,1,1,,1,1
,Media Gallery: Delete own content,delete own media_gallery content,,,1,1,1,,1,1
,Media Gallery: Delete any content,delete any media_gallery content,,,1,,,,1,1
,Photo: Create new content,create photo content,,,1,,,,,
,Photo: Edit own content,edit own photo content,,,1,1,1,,1,1
,Photo: Edit any content,edit any photo content,,,1,1,1,,1,1
,Photo: Delete own content,delete own photo content,,,1,1,1,,1,1
,Photo: Delete any content,delete any photo content,,,1,,,,1,1
,Profile: Create new content,create profile content,,,1,1,1,,1,1
